0.4977,0.49907,0.50241,0.50865,0.5187,0.53328,0.55268,0.57653,0.60362,0.63179,0.65809,0.67901,0.6909,0.69044,0.67517,0.64386,0.59678,0.53587,0.46464,0.38811,0.31257,0.24523,0.19369,0.16528,0.16603,0.19971,0.26677,0.36373,0.48306,0.61385,0.74312,0.85772,0.94634,1.0012,0.96995,0.91046,0.85343,0.80002,0.75107,0.70714,0.66234,0.60214,0.55582,0.52339,0.50317,0.49254,0.48863,0.48882,0.49104,0.49386,0.49644
0.49508,0.49484,0.49609,0.49982,0.50718,0.51933,0.53722,0.5614,0.59172,0.6272,0.66592,0.70503,0.74093,0.76946,0.78629,0.78726,0.76887,0.72879,0.66638,0.58333,0.48406,0.37591,0.26891,0.17488,0.10604,0.073088,0.083229,0.13851,0.23491,0.36256,0.50705,0.65166,0.78013,0.87924,0.94073,0.93764,0.87683,0.81988,0.7677,0.72086,0.67963,0.62976,0.57759,0.53883,0.51282,0.49749,0.49019,0.48821,0.48927,0.49167,0.49431
0.49147,0.48912,0.48755,0.48777,0.4911,0.49908,0.51332,0.53527,0.56594,0.6056,0.65354,0.70777,0.76496,0.82031,0.86778,0.90036,0.91072,0.8921,0.83949,0.75086,0.62838,0.4792,0.31545,0.15337,0.011352,-0.092717,-0.14451,-0.13598,-0.067056,0.053924,0.21152,0.38573,0.55543,0.70181,0.8112,0.87664,0.8961,0.83624,0.78138,0.73215,0.68882,0.64441,0.5896,0.54701,0.51709,0.49847,0.48879,0.4854,0.48586,0.48825,0.49125
0.48868,0.48395,0.47756,0.47346,0.47175,0.47418,0.4829,0.50019,0.52815,0.56833,0.62123,0.68588,0.75939,0.83663,0.91018,0.97055,1.0069,1.0084,0.9658,0.87331,0.73072,0.54458,0.32866,0.103,-0.10838,-0.28093,-0.39352,-0.43216,-0.39258,-0.28119,-0.11393,0.086503,0.29467,0.48664,0.64356,0.75403,0.81478,0.82978,0.79159,0.74057,0.69567,0.64416,0.59019,0.54667,0.51517,0.49504,0.48431,0.48044,0.48096,0.48395,0.48868
0.48843,0.4836,0.47708,0.46841,0.45709,0.44728,0.44922,0.45998,0.48258,0.51966,0.57292,0.64241,0.72587,0.81813,0.91089,0.98699,1.0503,1.0691,1.0362,0.94255,0.78559,0.57093,0.31327,0.035439,-0.2341,-0.46531,-0.48585,-0.46501,-0.43124,-0.38594,-0.33092,-0.20967,0.029772,0.2604,0.45904,0.61036,0.70804,0.7541,0.75695,0.72869,0.68237,0.62973,0.57977,0.53816,0.50744,0.48766,0.47725,0.47388,0.47708,0.4836,0.48843
0.48835,0.48348,0.47691,0.46819,0.45679,0.44213,0.42359,0.41967,0.43507,0.46614,0.51555,0.58431,0.67088,0.77041,0.87427,0.97008,1.0425,1.0747,1.0512,0.96019,0.79691,0.56584,0.28177,-0.030975,-0.34116,-0.5,-0.4929,-0.47191,-0.4379,-0.39228,-0.33686,-0.27379,-0.20328,0.054245,0.28358,0.46646,0.59408,0.66668,0.69169,0.68089,0.64763,0.60427,0.56065,0.52325,0.49535,0.47756,0.46869,0.46819,0.47691,0.48348,0.48835
0.48843,0.4836,0.47708,0.46841,0.45709,0.44254,0.42414,0.40126,0.39207,0.4153,0.45764,0.52088,0.60425,0.70348,0.81023,0.91194,0.9926,1.0343,1.0199,0.93588,0.77577,0.5427,0.25069,-0.07591,-0.40501,-0.4929,-0.48585,-0.46501,-0.43124,-0.38594,-0.33092,-0.2683,-0.20034,-0.10213,0.14285,0.34386,0.49047,0.58154,0.62343,0.62731,0.60623,0.5726,0.5365,0.50479,0.48113,0.46649,0.46001,0.46841,0.47708,0.4836,0.48843
0.48868,0.48395,0.47756,0.46908,0.458,0.44375,0.42574,0.40334,0.37597,0.37416,0.40756,0.46185,0.53695,0.62942,0.7317,0.83195,0.91462,0.96195,0.95643,0.88386,0.73662,0.51641,0.23573,-0.082514,-0.40735,-0.47191,-0.46501,-0.4446,-0.41155,-0.36721,-0.31335,-0.25205,-0.18553,-0.11606,0.057053,0.26042,0.41261,0.51163,0.56287,0.57658,0.56504,0.5401,0.51149,0.48596,0.46719,0.45631,0.458,0.46908,0.47756,0.48395,0.48868
0.48907,0.48451,0.47835,0.47016,0.45947,0.44572,0.42834,0.40673,0.38031,0.3486,0.3719,0.41537,0.47882,0.55971,0.65173,0.74445,0.8238,0.8733,0.87636,0.81904,0.69321,0.49921,0.24739,-0.042003,-0.34089,-0.4379,-0.43124,-0.41155,-0.37965,-0.33686,-0.28489,-0.22574,-0.16154,-0.094499,0.036837,0.2267,0.37059,0.46624,0.51827,0.53581,0.52997,0.51153,0.48936,0.46962,0.45568,0.44856,0.45947,0.47016,0.47835,0.48451,0.48907
0.4896,0.48526,0.4794,0.47161,0.46144,0.44836,0.43182,0.41126,0.38614,0.35596,0.35425,0.38654,0.4367,0.50313,0.58097,0.66175,0.73362,0.78238,0.7933,0.75364,0.65535,0.49759,0.28823,0.04394,-0.21145,-0.39228,-0.38594,-0.36721,-0.33686,-0.29616,-0.24671,-0.19043,-0.12936,-0.06558,0.081387,0.24405,0.36733,0.44928,0.49393,0.50925,0.50489,0.4902,0.47277,0.4578,0.44805,0.44836,0.46144,0.47161,0.4794,0.48526,0.4896
